id,CVE_ENT,estado,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,01,Aguascalientes,1425607,5087,3.568304589,856,0.600445985,2956,2.073502726,950,0.666382811,14,0.009820378,261,0.183079909,43,0.03016259,1,0.000701456,6,0.004208734
2,02,Baja California,3769020,9424,2.500384715,1678,0.445208569,7282,1.932067222,27,0.007163666,12,0.003183852,219,0.05810529,205,0.054390797,0,0,1,0.000265321
3,03,Baja California Sur,798447,2782,3.484263827,536,0.671303167,2140,2.680202944,0,0,3,0.003757294,17,0.021291332,79,0.098942071,0,0,7,0.008767019
4,04,Campeche,928363,3361,3.620351091,773,0.832648436,1836,1.977674681,628,0.676459531,31,0.033392111,68,0.07324721,25,0.026929121,0,0,0,0
5,05,Coahuila de Zaragoza,3146771,9774,3.106041081,1573,0.499877493,6793,2.158720797,971,0.308570277,1,0.000317786,229,0.072773011,203,0.064510573,0,0,4,0.001271144
6,06,Colima,731391,2854,3.902153568,576,0.787540454,2068,2.82748899,85,0.116216907,9,0.01230532,81,0.110747876,20,0.027345155,1,0.001367258,14,0.019141608
7,07,Chiapas,5543828,13466,2.429007538,4383,0.790608944,7480,1.349248209,811,0.14628881,21,0.003787996,489,0.0882062,272,0.049063571,0,0,10,0.001803808
8,08,Chihuahua,3741869,10773,2.879042532,1704,0.455387401,7463,1.99445785,1135,0.303324355,50,0.013362306,270,0.072156454,145,0.038750688,0,0,6,0.001603477
9,09,Ciudad de México,9209944,54803,5.950416202,7288,0.791318601,20851,2.263965992,25804,2.801754278,20,0.002171566,485,0.052660472,183,0.019869828,153,0.016612479,19,0.002062988
10,10,Durango,1832650,5223,2.849971353,1061,0.578943061,3841,2.095872098,187,0.102038032,6,0.003273948,66,0.036013423,62,0.033830791,0,0,0,0
11,11,Guanajuato,6166934,16140,2.617183839,3502,0.567867274,9518,1.543392551,2868,0.46506092,7,0.001135086,122,0.019782926,109,0.017674909,0,0,14,0.002270172
12,12,Guerrero,3540685,10508,2.967787307,3266,0.922420379,6716,1.896808104,55,0.015533717,1,0.000282431,118,0.033326884,329,0.092919873,8,0.00225945,15,0.004236468
13,13,Hidalgo,3082841,7441,2.413682704,2258,0.732441277,4734,1.535596549,204,0.066172728,28,0.009082531,139,0.045088281,73,0.023679457,0,0,5,0.001621881
14,14,Jalisco,8348151,21848,2.617106471,3834,0.459263375,12171,1.45792763,5265,0.630678578,161,0.019285708,265,0.031743556,152,0.018207625,0,0,0,0
15,15,Estado de México,16992418,37157,2.186681142,10413,0.612802722,19906,1.171463649,6035,0.355158401,17,0.001000446,358,0.02106822,264,0.015536341,158,0.009298265,6,0.000353099
16,16,Michoacán de Ocampo,4748846,9916,2.088086242,2615,0.550660097,5576,1.174180001,1313,0.276488225,43,0.009054831,198,0.04169434,167,0.035166438,0,0,4,0.00084231
17,17,Morelos,1971520,5110,2.591908781,1128,0.572147379,2963,1.502901315,593,0.300783152,8,0.004057783,160,0.081155657,241,0.122240708,13,0.006593897,4,0.002028891
18,18,Nayarit,1235456,4373,3.539583765,983,0.795657636,3252,2.632226482,0,0,46,0.037233216,36,0.029139039,56,0.045327393,0,0,0,0
19,19,Nuevo León,5784442,13270,2.294084719,2013,0.348002452,7469,1.291222213,3234,0.559085907,47,0.008125244,399,0.068978131,108,0.018670772,0,0,0,0
20,20,Oaxaca,4132148,9652,2.335831146,3505,0.848227121,4743,1.147829168,972,0.235228748,47,0.01137423,168,0.040656821,199,0.048158972,14,0.003388068,4,0.00096802
21,21,Puebla,6583278,13418,2.038194346,3219,0.488966135,6300,0.956970069,3509,0.533017138,25,0.0037975,165,0.025063502,124,0.018835601,61,0.009265901,15,0.0022785
22,22,Querétaro,2368467,5562,2.348354442,1204,0.508345694,4190,1.769076791,0,0,27,0.011399779,48,0.020266274,89,0.037577049,0,0,4,0.001688856
23,23,Quintana Roo,1857985,4418,2.377844816,847,0.455870203,3193,1.718528406,168,0.090420536,1,0.000538217,79,0.042519181,128,0.068891837,0,0,2,0.001076435
24,24,San Luis Potosí,2822255,7364,2.609261034,1774,0.628575377,4400,1.559037011,868,0.307555483,7,0.002480286,236,0.083621076,53,0.018779309,21,0.007440858,5,0.001771633
25,25,Sinaloa,3026943,9775,3.229330714,1777,0.587060939,7303,2.412665187,366,0.120914071,74,0.024447107,156,0.051537145,53,0.017509415,42,0.013875385,4,0.001321465
26,26,Sonora,2944840,11034,3.74689287,1885,0.640102688,6407,2.175669985,2053,0.697151628,51,0.017318428,159,0.053992747,96,0.032599394,0,0,383,0.130058
27,27,Tabasco,2402598,7898,3.287274858,2019,0.840340332,3412,1.420129377,2197,0.9144268,18,0.00749189,77,0.032048641,143,0.059518904,0,0,32,0.013318916
28,28,Tamaulipas,3527735,10848,3.07506091,1714,0.485864159,7697,2.181853229,596,0.168946931,2,0.000566936,555,0.157324742,284,0.080504913,0,0,0,0
29,29,Tlaxcala,1342977,3975,2.959842201,992,0.738657475,2369,1.763991491,424,0.315716501,3,0.002233843,143,0.106479858,30,0.022338432,10,0.007446144,4,0.002978458
30,30,Veracruz de Ignacio de la Llave,8062579,19764,2.451324818,4654,0.577234654,10904,1.352420857,3587,0.444894866,8,0.000992238,205,0.025426107,405,0.050232066,0,0,1,0.00012403
31,31,Yucatán,2320898,8447,3.639539523,1520,0.654918915,5124,2.207766132,1377,0.593304833,8,0.003446942,175,0.075401849,222,0.095652631,18,0.007755619,3,0.001292603
32,32,Zacatecas,1622138,6343,3.910271506,1271,0.78353383,4802,2.960290678,0,0,17,0.010479996,128,0.078908206,59,0.036371751,2,0.001232941,64,0.039454103
34,34,Laborando en el Extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,No Disponible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999,9999,Total República Mexicana,126014024,361808,2.871172497,76821,0.609622624,205859,1.633619763,66282,0.525989076,813,0.006451663,6274,0.049788109,4621,0.036670522,502,0.003983684,636,0.005047057
